업체코드,업체명,업종,현역배정인원,현역편입인원,현역복무인원,보충역배정인원,보충역편입인원,보충역복무인원,채용유무
119960257,세코스프링클러(주),기계,0,0,0,1476,0,1,
120070094,세일공업(주),기계,0,0,0,815,0,0,모집중
120191293,세진밸브공업(주),기계,0,0,0,534,0,0,
120000947,세향산업(주),전자,0,0,1,1148,0,2,
120190303,세진코리아,기계,1,0,1,1476,0,0,모집중
120200922,솔루션코리아(주),정보처리,1,1,1,1148,0,0,
119910398,소이상사(주),기계,0,0,0,1501,0,7,
120200384,셀렉트스타 주식회사,정보처리,2,1,2,665,1,5,
120191041,세한피엔씨(주),화학,1,0,1,1501,1,2,
119980757,세진전자통신(주),전기,0,0,0,1501,1,4,모집중
120180518,세호건설(주),철강,0,0,2,815,0,0,
119931409,세종특별자치시농어민후계(어업),어민후계자,0,0,0,0,0,0,
120200901,세현정밀(주),기계,1,1,1,1148,0,0,
120160322,세창엔터프라이즈(주),기계,0,0,0,813,0,0,
120120044,송암시스콤(주),통신기기,1,0,2,110,0,0,
120191063,세풍폴리머,화학,0,0,0,0,0,0,
120120502,수도정밀(주),기계,1,1,4,815,0,2,
120191044,솔루에타,화학,0,0,1,1501,0,0,
120190455,세화파렛텍(주),화학,0,0,0,1476,0,1,모집중
120160502,송하테크,철강,1,0,2,460,0,0,
120150195,소나테크(주),기계,0,0,1,534,1,1,
120140656,송월(주)송월테크놀로지,기계,0,0,0,815,0,0,
120190881,송현엘앤씨주식회사,기계,0,0,0,1501,0,0,
120011587,세화정공(주),기계,0,0,1,320,0,0,
120170655,수국,기계,0,0,1,1501,0,3,
120190377,수리이엔씨,전기,0,0,0,1476,0,0,
119971184,송우전자(주),통신기기,1,0,4,665,1,2,
120160174,솔리드(주),전자,2,0,1,1501,0,0,
120140453,솔트웨어(주),정보처리,2,1,1,665,0,0,
120171274,송암철강(주)음성3공장,철강,0,0,1,593,0,0,
120171258,수만,철강,1,0,1,813,0,3,모집중
120150787,세화정공(주),기계,1,0,1,531,0,0,
120140477,세화골판지공업(주),화학,0,0,0,534,0,1,
120190070,세창인스트루먼트,전자,0,0,1,0,0,0,
120190099,솔리스이엔씨,기계,1,1,2,813,1,1,모집중
120150841,수광산업(주),기계,1,1,1,1476,0,1,
120150191,수도염직공업(주),섬유,0,0,1,1476,0,0,
100200097,송우산업(주),화학,0,0,0,815,0,1,
120110024,센서텍(주),전자,0,0,0,1476,2,3,
120190270,스트리스,정보처리,1,0,1,665,0,2,
120171310,스탠다드네트웍스주식회사,정보처리,0,0,2,665,0,0,
120080027,수성기체산업(주)함안공장,기계,1,1,2,815,0,0,
120180697,슈가힐,정보처리,0,0,0,665,0,0,모집중
